iter	Passed	Remaining
	39808	524
987	39821	483
988	39834	443
989	39851	402
990	39862	362
991	39871	321
992	39881	281
993	39889	240
994	39897	200
995	39907	160
996	39917	120
997	39926	80
998	39935	39
999	39946	0
9543	79
998	39556	39
999	39564	0
5	99
998	49609	49
999	49623	0
